Supplier Name,Invoice Number,Part Number,Cost,Purchase Date
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier X,001-1001,5467,750.0,2014-01-20
Supplier Z,920-4803,3321,615.0,2014-02-03
Supplier Z,920-4804,3321,615.0,2014-02-10
Supplier Z,920-4805,3321,615.0,2014-02-17
Supplier Z,920-4806,3321,615.0,2014-02-24
